n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,precision,recall,f1,tp,fp,fn
3,1,2,1,5,3,3e-05,0.027673896783844427,0.555,0.052719069104725715,111,3900,89
3,1,2,1,5,3,1e-05,0.02904109589041096,0.53,0.05506493506493507,106,3544,94
3,1,2,2,5,2,0.01,0.012083646381167042,0.965,0.0238684145436557,193,15779,7
3,1,2,2,5,2,0.003,0.01710775047258979,0.905,0.033580705009276436,181,10399,19
3,1,2,2,5,2,0.001,0.022492480711390088,0.86,0.04383840958328024,172,7475,28
3,1,2,2,5,2,0.0003,0.02528658125421443,0.75,0.04892367906066536,150,5782,50
3,1,2,2,5,2,0.0001,0.02716336825766395,0.7,0.052297347777362724,140,5014,60
3,1,2,2,5,2,3e-05,0.028534088433892397,0.655,0.05468586933834273,131,4460,69
3,1,2,2,5,2,1e-05,0.02906838217774601,0.61,0.05549238116897885,122,4075,78
3,1,2,2,5,3,0.01,0.011719929922068507,0.97,0.023160031039216857,194,16359,6
3,1,2,2,5,3,0.003,0.01652080728701554,0.925,0.032461835409721,185,11013,15
3,1,2,2,5,3,0.001,0.02081024504371383,0.845,0.04062011777430597,169,7952,31
3,1,2,2,5,3,0.0003,0.0244140625,0.75,0.04728877679697352,150,5994,50
3,1,2,2,5,3,0.0001,0.025552353506243995,0.665,0.04921369102682702,133,5072,67
3,1,2,2,5,3,3e-05,0.026218046755516713,0.6,0.05024073686414068,120,4457,80
3,1,2,2,5,3,1e-05,0.02753831417624521,0.575,0.052559414990859234,115,4061,85
3,1,3,1,5,2,0.01,0.012377974861226312,0.97,0.024444024444024444,194,15479,6
3,1,3,1,5,2,0.003,0.01806993553428404,0.925,0.0354474037171872,185,10053,15
3,1,3,1,5,2,0.001,0.02330908111021288,0.865,0.045394909472579376,173,7249,27
3,1,3,1,5,2,0.0003,0.02636502806599762,0.775,0.05099522947853266,155,5724,45
3,1,3,1,5,2,0.0001,0.028030156582254013,0.725,0.05397357156151126,145,5028,55
3,1,3,1,5,2,3e-05,0.02856524561783164,0.66,0.054760423148724334,132,4489,68
3,1,3,1,5,2,1e-05,0.02936301207672271,0.62,0.05607054035722359,124,4099,76
3,1,3,1,5,3,0.01,0.011807169949834821,0.965,0.0233289012450139,193,16153,7
3,1,3,1,5,3,0.003,0.01697559185171591,0.925,0.0333393404216976,185,10713,15
3,1,3,1,5,3,0.001,0.021884882985452245,0.865,0.04268969771745836,173,7732,27
3,1,3,1,5,3,0.0003,0.02551440329218107,0.775,0.04940239043824701,155,5920,45
3,1,3,1,5,3,0.0001,0.026046691105537333,0.675,0.050157904514211406,135,5048,65
3,1,3,1,5,3,3e-05,0.025996533795493933,0.6,0.04983388704318936,120,4496,80
3,1,3,1,5,3,1e-05,0.027218934911242602,0.575,0.05197740112994351,115,4110,85
3,1,3,2,5,2,0.01,0.011896689884731554,0.965,0.023503622967789076,193,16030,7
3,1,3,2,5,2,0.003,0.01774327696146382,0.96,0.03484257326921332,192,10629,8
3,1,3,2,5,2,0.001,0.022650902302426883,0.91,0.044201578627808144,182,7853,18
3,1,3,2,5,2,0.0003,0.026676946800308403,0.865,0.05175766641735228,173,6312,27
3,1,3,2,5,2,0.0001,0.02768529875591379,0.79,0.053495852378533944,158,5549,42
3,1,3,2,5,2,3e-05,0.02854349951124145,0.73,0.054938852304797746,146,4969,54
