tar_thresh,precision,recall,f1,tp,fp,fn
-12.396800994873047,0.005714285714285714,0.005,0.005333333333333333,1,174,199
-12.438238143920898,0.005681818181818182,0.005,0.005319148936170213,1,175,199
-12.461559295654297,0.005649717514124294,0.005,0.005305039787798408,1,176,199
-12.500144004821777,0.0056179775280898875,0.005,0.005291005291005291,1,177,199
-12.502811431884766,0.00558659217877095,0.005,0.005277044854881266,1,178,199
-12.564718246459961,0.005555555555555556,0.005,0.005263157894736842,1,179,199
-12.567139625549316,0.0055248618784530384,0.005,0.005249343832020997,1,180,199
-12.575359344482422,0.005494505494505495,0.005,0.005235602094240838,1,181,199
-12.586821556091309,0.00546448087431694,0.005,0.005221932114882507,1,182,199
-12.593080520629883,0.005434782608695652,0.005,0.005208333333333333,1,183,199
-12.606887817382812,0.005405405405405406,0.005,0.005194805194805195,1,184,199
-12.617735862731934,0.005376344086021506,0.005,0.005181347150259068,1,185,199
-12.652610778808594,0.0053475935828877,0.005,0.00516795865633075,1,186,199
-12.659836769104004,0.005319148936170213,0.005,0.005154639175257732,1,187,199
-12.666934967041016,0.005291005291005291,0.005,0.005141388174807198,1,188,199
-12.676831245422363,0.005263157894736842,0.005,0.005128205128205128,1,189,199
-12.686639785766602,0.005235602094240838,0.005,0.005115089514066497,1,190,199
-12.703156471252441,0.005208333333333333,0.005,0.00510204081632653,1,191,199
-12.726449966430664,0.0051813471502590676,0.005,0.0050890585241730275,1,192,199
-12.734325408935547,0.005154639175257732,0.005,0.005076142131979696,1,193,199
-12.748035430908203,0.005128205128205128,0.005,0.005063291139240506,1,194,199
-12.75790023803711,0.00510204081632653,0.005,0.00505050505050505,1,195,199
-12.759084701538086,0.005076142131979695,0.005,0.005037783375314862,1,196,199
-12.763391494750977,0.005050505050505051,0.005,0.005025125628140704,1,197,199
-12.772320747375488,0.005025125628140704,0.005,0.005012531328320802,1,198,199
-12.797435760498047,0.005,0.005,0.005,1,199,199
-12.802204132080078,0.004975124378109453,0.005,0.004987531172069825,1,200,199
-12.807236671447754,0.0049504950495049506,0.005,0.004975124378109453,1,201,199
-12.847495079040527,0.0049261083743842365,0.005,0.004962779156327543,1,202,199
-12.8529634475708,0.00980392156862745,0.01,0.0099009900990099,2,202,198
-12.871842384338379,0.00975609756097561,0.01,0.009876543209876543,2,203,198
-12.892007827758789,0.009708737864077669,0.01,0.009852216748768473,2,204,198
-12.89803409576416,0.00966183574879227,0.01,0.009828009828009828,2,205,198
-12.903810501098633,0.009615384615384616,0.01,0.00980392156862745,2,206,198
-12.91196060180664,0.009569377990430622,0.01,0.009779951100244499,2,207,198
-12.9126558303833,0.009523809523809525,0.01,0.00975609756097561,2,208,198
-12.933404922485352,0.009478672985781991,0.01,0.009732360097323601,2,209,198
-12.943639755249023,0.009433962264150943,0.01,0.009708737864077669,2,210,198
-13.007454872131348,0.009389671361502348,0.01,0.009685230024213076,2,211,198
-13.019535064697266,0.009345794392523364,0.01,0.00966183574879227,2,212,198
-13.059965133666992,0.009302325581395349,0.01,0.009638554216867469,2,213,198
-13.09823226928711,0.009259259259259259,0.01,0.009615384615384614,2,214,198
-13.10743236541748,0.009216589861751152,0.01,0.009592326139088728,2,215,198
-13.187793731689453,0.009174311926605505,0.01,0.009569377990430622,2,216,198
-13.218544960021973,0.0091324200913242,0.01,0.009546539379474939,2,217,198
-13.233141899108887,0.00909090909090909,0.01,0.009523809523809525,2,218,198
-13.244181632995605,0.00904977375565611,0.01,0.009501187648456057,2,219,198
-13.247520446777344,0.009009009009009009,0.01,0.009478672985781991,2,220,198
-13.257316589355469,0.008968609865470852,0.01,0.009456264775413711,2,221,198
-13.279735565185547,0.008928571428571428,0.01,0.009433962264150945,2,222,198
-13.346303939819336,0.008888888888888889,0.01,0.009411764705882354,2,223,198
-13.378782272338867,0.008849557522123894,0.01,0.009389671361502346,2,224,198
-13.413228988647461,0.00881057268722467,0.01,0.00936768149882904,2,225,198
-13.45937728881836,0.008771929824561403,0.01,0.009345794392523364,2,226,198
-13.461675643920898,0.008733624454148471,0.01,0.009324009324009322,2,227,198
-13.521371841430664,0.008695652173913044,0.01,0.009302325581395349,2,228,198
-13.578392028808594,0.008658008658008658,0.01,0.009280742459396751,2,229,198
-13.590002059936523,0.008620689655172414,0.01,0.00925925925925926,2,230,198
-13.59780216217041,0.008583690987124463,0.01,0.009237875288683603,2,231,198
-13.673640251159668,0.008547008547008548,0.01,0.009216589861751154,2,232,198
